bld=02 node=22 id=O1L_KUE
     DATE;  TIME;     ENE;    VOL;  VLT; RLT;
26_07_2012; 00:00:45; 188.500; 0.000; 25.10; 25.20;
26_07_2012; 00:48:45; 188.500; 0.000; 25.10; 25.20;
26_07_2012; 01:36:45; 188.500; 0.000; 25.10; 25.20;
26_07_2012; 02:24:45; 188.500; 0.000; 25.10; 25.20;
26_07_2012; 03:12:45; 188.500; 0.000; 25.10; 25.20;
26_07_2012; 04:00:45; 188.500; 0.000; 25.20; 25.10;
26_07_2012; 04:48:45; 188.500; 0.000; 25.20; 25.10;
26_07_2012; 05:36:45; 188.500; 0.000; 25.20; 25.10;
26_07_2012; 06:24:45; 188.500; 0.000; 25.20; 25.10;
26_07_2012; 07:12:45; 188.500; 0.000; 25.10; 25.10;
26_07_2012; 08:00:45; 188.500; 0.000; 25.10; 25.10;
26_07_2012; 08:48:45; 188.500; 0.000; 25.10; 25.10;
26_07_2012; 09:36:45; 188.500; 0.000; 25.10; 25.10;
26_07_2012; 10:24:45; 188.500; 0.000; 25.20; 25.20;
26_07_2012; 11:12:45; 188.500; 0.000; 25.20; 25.20;
26_07_2012; 12:00:45; 188.500; 0.000; 25.30; 25.30;
26_07_2012; 12:48:45; 188.500; 0.000; 25.30; 25.40;
26_07_2012; 13:36:45; 188.500; 0.000; 25.50; 25.40;
26_07_2012; 14:24:45; 188.500; 0.000; 25.50; 25.50;
26_07_2012; 15:12:45; 188.500; 0.000; 25.50; 25.60;
26_07_2012; 16:00:45; 188.500; 0.000; 25.60; 25.60;
26_07_2012; 16:48:45; 188.500; 0.000; 25.60; 25.60;
26_07_2012; 17:36:45; 188.500; 0.000; 25.60; 25.70;
26_07_2012; 18:24:45; 188.500; 0.000; 25.70; 25.70;
26_07_2012; 19:12:45; 188.500; 0.000; 25.70; 25.70;
26_07_2012; 20:00:45; 188.500; 0.000; 25.70; 25.80;
26_07_2012; 20:48:45; 188.500; 0.000; 25.70; 25.80;
26_07_2012; 21:36:45; 188.500; 0.000; 25.80; 25.80;
26_07_2012; 22:24:45; 188.500; 0.000; 25.80; 25.80;
26_07_2012; 23:12:45; 188.500; 0.000; 25.80; 25.80;
